name,description
Пиар-Новичок,Сделать первый пост
Пиар-Мастер,Сделать 5 постов
Пиар-Гуру,Сделать 10
Друзья навсегда,Забери первого питомца домой
Котопес,Забрать кота и собаку
Счастье в лапках,Забрать первую собаку
Мурчащая радость,Забрать первого кота
Первый выезд,выполнить первую перевозку
Путешественник с лапками,выполнить 5 перевозок
Перевозчик: Хвостатое братство,выполнить 10 перевозок
Лучшая пара,погулять с одним животным 2 раза
Чемпион по выгулу,выгулять животное 15 раз
Профессиональный выгульщик,выгулять животное 10 раз
Звезда выгула,выгулять животное 5 раз
Первая ходка,выгулять животное в 1ый раз
Щедрость,первый донат
Звезда щедрости,задонатить 1000 рублей
300$,задонатить 30000 рублей
Мастер пожертвований,задонатить 10000 рублей
Бескорыстность не предел,задонатить 50000 рублей
Кругосветка по приютам,посетить все приюты
Я со своим!,привезти корм в приют в 1ый раз
Кормагедон,принести 200кг корма
Собачье сердце,принести 25кг корма в общей сумме
Кормилец,принести 75 кг корма
